ticker,sector,industry,name
KNSA,Healthcare,Drug Manufacturers - Specialty & Generic,Kiniksa Pharmaceuticals Interna
KNSL,Financial Services,Insurance - Property & Casualty,"Kinsale Capital Group, Inc."
KNTK,Energy,Oil & Gas Midstream,Kinetik Holdings Inc.
KNX,Industrials,Trucking,Knight-Swift Transportation Hol
KO,Consumer Defensive,Beverages - Non-Alcoholic,Coca-Cola Company (The)
KR,Consumer Defensive,Grocery Stores,Kroger Company (The)
KRC,Real Estate,REIT - Office,Kilroy Realty Corporation
KRG,Real Estate,REIT - Retail,Kite Realty Group Trust
KRMN,Industrials,Aerospace & Defense,Karman Holdings Inc.
KRYS,Healthcare,Biotechnology,"Krystal Biotech, Inc."
KSS,Consumer Cyclical,Department Stores,Kohl's Corporation
KTB,Consumer Cyclical,Apparel Manufacturing,"Kontoor Brands, Inc."
KTOS,Industrials,Aerospace & Defense,Kratos Defense & Security Solut
KVUE,Consumer Defensive,Household & Personal Products,Kenvue Inc.
KVYO,Technology,Software - Application,"Klaviyo, Inc. Series A"
KYMR,Healthcare,Biotechnology,"Kymera Therapeutics, Inc."
L,Financial Services,Insurance - Property & Casualty,Loews Corporation
LAD,Consumer Cyclical,Auto & Truck Dealerships,"Lithia Motors, Inc."
LAMR,Real Estate,REIT - Specialty,Lamar Advertising Company
LASR,Technology,Semiconductors,"nLIGHT, Inc."
LAUR,Consumer Defensive,Education & Training Services,"Laureate Education, Inc."
LAZ,Financial Services,Capital Markets,"Lazard, Inc."
LBRDK,Communication Services,Telecom Services,Liberty Broadband Corporation
LBRT,Energy,Oil & Gas Equipment & Services,Liberty Energy Inc.
LCID,Consumer Cyclical,Auto Manufacturers,"Lucid Group, Inc."
LCII,Consumer Cyclical,Recreational Vehicles,LCI Industries
LDOS,Technology,Information Technology Services,"Leidos Holdings, Inc."
LEA,Consumer Cyclical,Auto Parts,Lear Corporation
LECO,Industrials,Tools & Accessories,"Lincoln Electric Holdings, Inc."
LEN,Consumer Cyclical,Residential Construction,Lennar Corporation
LEU,Energy,Uranium,Centrus Energy Corp.
LEVI,Consumer Cyclical,Apparel Manufacturing,Levi Strauss & Co
LFST,Healthcare,Medical Care Facilities,"LifeStance Health Group, Inc."
LFUS,Technology,Electronic Components,"Littelfuse, Inc."
LGN,Industrials,Engineering & Construction,Legence Corp.
LGND,Healthcare,Biotechnology,Ligand Pharmaceuticals Incorpor
LH,Healthcare,Diagnostics & Research,Labcorp Holdings Inc.
LHX,Industrials,Aerospace & Defense,"L3Harris Technologies, Inc."
LIF,Technology,Software - Application,"Life360, Inc."
LII,Industrials,Building Products & Equipment,"Lennox International, Inc."
LIN,Basic Materials,Specialty Chemicals,Linde plc
LINE,Real Estate,REIT - Industrial,"Lineage, Inc."
LITE,Technology,Communication Equipment,Lumentum Holdings Inc.
LIVN,Healthcare,Medical Devices,LivaNova PLC
LKQ,Consumer Cyclical,Auto Parts,LKQ Corporation
LLY,Healthcare,Drug Manufacturers - General,Eli Lilly and Company
LLYVK,Communication Services,Entertainment,"Liberty Live Holdings, Inc. - S"
LMAT,Healthcare,Medical Instruments & Supplies,"LeMaitre Vascular, Inc."
LMND,Financial Services,Insurance - Property & Casualty,"Lemonade, Inc."
LMT,Industrials,Aerospace & Defense,Lockheed Martin Corporation
LNC,Financial Services,Insurance - Life,Lincoln National Corporation
LNG,Energy,Oil & Gas Midstream,"Cheniere Energy, Inc."
LNT,Utilities,Utilities - Regulated Electric,Alliant Energy Corporation
LNTH,Healthcare,Drug Manufacturers - Specialty & Generic,"Lantheus Holdings, Inc."
LOAR,Industrials,Aerospace & Defense,Loar Holdings Inc.
LOGI,Technology,Computer Hardware,Logitech International S.A. - R
LOPE,Consumer Defensive,Education & Training Services,"Grand Canyon Education, Inc."
LOW,Consumer Cyclical,Home Improvement Retail,"Lowe's Companies, Inc."
LPG,Energy,Oil & Gas Midstream,Dorian LPG Ltd.
LPLA,Financial Services,Capital Markets,LPL Financial Holdings Inc.
LPTH,Technology,Electronic Components,"LightPath Technologies, Inc."
LPX,Industrials,Building Products & Equipment,Louisiana-Pacific Corporation
LQDA,Healthcare,Drug Manufacturers - Specialty & Generic,Liquidia Corporation
LRCX,Technology,Semiconductor Equipment & Materials,Lam Research Corporation
LRN,Consumer Defensive,Education & Training Services,"Stride, Inc."
LSCC,Technology,Semiconductors,Lattice Semiconductor Corporati
LSTR,Industrials,Integrated Freight & Logistics,"Landstar System, Inc."
LTH,Consumer Cyclical,Leisure,"Life Time Group Holdings, Inc."
LULU,Consumer Cyclical,Apparel Retail,lululemon athletica inc.
LUMN,Communication Services,Telecom Services,"Lumen Technologies, Inc."
LUNR,Industrials,Aerospace & Defense,"Intuitive Machines, Inc."
LUV,Industrials,Airlines,Southwest Airlines Company
LVS,Consumer Cyclical,Resorts & Casinos,Las Vegas Sands Corp.
LW,Consumer Defensive,Packaged Foods,"Lamb Weston Holdings, Inc."
LWLG,Basic Materials,Specialty Chemicals,"Lightwave Logic, Inc."
LXP,Real Estate,REIT - Industrial,LXP Industrial Trust
LYB,Basic Materials,Specialty Chemicals,LyondellBasell Industries NV
LYFT,Technology,Software - Application,"Lyft, Inc."
LYV,Communication Services,Entertainment,"Live Nation Entertainment, Inc."
M,Consumer Cyclical,Department Stores,Macy's Inc
MA,Financial Services,Credit Services,Mastercard Incorporated
MAA,Real Estate,REIT - Residential,Mid-America Apartment Communiti
MAC,Real Estate,REIT - Retail,Macerich Company (The)
MAIN,Financial Services,Asset Management,Main Street Capital Corporation
MAIR,Industrials,Building Products & Equipment,Madison Air Solutions Corporati
MAN,Industrials,Staffing & Employment Services,ManpowerGroup
MANE,Healthcare,Biotechnology,"Veradermics, Incorporated"
MANH,Technology,Software - Application,"Manhattan Associates, Inc."
MAR,Consumer Cyclical,Lodging,Marriott International
MARA,Financial Services,Capital Markets,"MARA Holdings, Inc."
MAS,Industrials,Building Products & Equipment,Masco Corporation
MAT,Consumer Cyclical,Leisure,"Mattel, Inc."
MATX,Industrials,Marine Shipping,"Matson, Inc."
MBLY,Consumer Cyclical,Auto Parts,Mobileye Global Inc.
MBX,Healthcare,Biotechnology,"MBX Biosciences, Inc."
MC,Financial Services,Capital Markets,Moelis & Company
MCD,Consumer Cyclical,Restaurants,McDonald's Corporation
MCHP,Technology,Semiconductors,Microchip Technology Incorporat
MCK,Healthcare,Medical Distribution,McKesson Corporation
MCO,Financial Services,Financial Data & Stock Exchanges,Moody's Corporation
MCY,Financial Services,Insurance - Property & Casualty,Mercury General Corporation
MDA,Industrials,Aerospace & Defense,MDA Space Ltd.
MDB,Technology,Software - Infrastructure,"MongoDB, Inc."
MDGL,Healthcare,Biotechnology,"Madrigal Pharmaceuticals, Inc."
MDLN,Healthcare,Medical Instruments & Supplies,Medline Inc.
MDLZ,Consumer Defensive,Confectioners,"Mondelez International, Inc."
MDT,Healthcare,Medical Devices,Medtronic plc.
MDU,Utilities,Utilities - Regulated Gas,"MDU Resources Group, Inc."
MEDP,Healthcare,Diagnostics & Research,"Medpace Holdings, Inc."
MELI,Consumer Cyclical,Internet Retail,"MercadoLibre, Inc."
MEOH,Basic Materials,Chemicals,Methanex Corporation
MET,Financial Services,Insurance - Life,"MetLife, Inc."
META,Communication Services,Internet Content & Information,"Meta Platforms, Inc."
MFC,Financial Services,Insurance - Life,Manulife Financial Corporation
MGA,Consumer Cyclical,Auto Parts,"Magna International, Inc."
MGM,Consumer Cyclical,Resorts & Casinos,MGM Resorts International
MGNI,Communication Services,Advertising Agencies,"Magnite, Inc."
MGY,Energy,Oil & Gas E&P,Magnolia Oil & Gas Corporation
MHK,Consumer Cyclical,"Furnishings, Fixtures & Appliances","Mohawk Industries, Inc."
MHO,Consumer Cyclical,Residential Construction,"M/I Homes, Inc."
MIAX,Financial Services,Capital Markets,"Miami International Holdings, I"
MIDD,Industrials,Specialty Industrial Machinery,The Middleby Corporation
MIR,Industrials,Specialty Industrial Machinery,"Mirion Technologies, Inc."
MIRM,Healthcare,Biotechnology,"Mirum Pharmaceuticals, Inc."
MKC,Consumer Defensive,Packaged Foods,"McCormick & Company, Incorporat"
MKL,Financial Services,Insurance - Property & Casualty,Markel Group Inc.
MKSI,Technology,Scientific & Technical Instruments,MKS Inc.
MKTX,Financial Services,Capital Markets,"MarketAxess Holdings, Inc."
MLI,Industrials,Metal Fabrication,"Mueller Industries, Inc."
MLM,Basic Materials,Building Materials,"Martin Marietta Materials, Inc."
MLYS,Healthcare,Biotechnology,"Mineralys Therapeutics, Inc."
MMM,Industrials,Conglomerates,3M Company
MMS,Industrials,Specialty Business Services,"Maximus, Inc."
MMSI,Healthcare,Medical Instruments & Supplies,"Merit Medical Systems, Inc."
MMYT,Consumer Cyclical,Travel Services,MakeMyTrip Limited
MNDY,Technology,Software - Application,monday.com Ltd.
MNST,Consumer Defensive,Beverages - Non-Alcoholic,Monster Beverage Corporation
MO,Consumer Defensive,Tobacco,"Altria Group, Inc."
MOD,Consumer Cyclical,Auto Parts,Modine Manufacturing Company
MOG.A,Industrials,Aerospace & Defense,Moog Inc.
MOH,Healthcare,Healthcare Plans,Molina Healthcare Inc
MORN,Financial Services,Financial Data & Stock Exchanges,"Morningstar, Inc."
MOS,Basic Materials,Agricultural Inputs,Mosaic Company (The)
MP,Basic Materials,Other Industrial Metals & Mining,MP Materials Corp.
MPC,Energy,Oil & Gas Refining & Marketing,Marathon Petroleum Corporation
MPLX,Energy,Oil & Gas Midstream,MPLX LP
MPWR,Technology,Semiconductors,"Monolithic Power Systems, Inc."
MRAM,Technology,Semiconductors,"Everspin Technologies, Inc."
MRCY,Industrials,Aerospace & Defense,Mercury Systems Inc
MRK,Healthcare,Drug Manufacturers - General,"Merck & Company, Inc."
MRNA,Healthcare,Biotechnology,"Moderna, Inc."
MRP,Real Estate,REIT - Residential,"Millrose Properties, Inc."
MRSH,Financial Services,Insurance Brokers,Marsh
MRVL,Technology,Semiconductors,"Marvell Technology, Inc."
MRX,Financial Services,Capital Markets,Marex Group Limited
MS,Financial Services,Capital Markets,Morgan Stanley
MSA,Industrials,Security & Protection Services,MSA Safety Incorporated
MSCI,Financial Services,Financial Data & Stock Exchanges,MSCI Inc.
MSFT,Technology,Software - Infrastructure,Microsoft Corporation
MSGE,Communication Services,Entertainment,Madison Square Garden Entertain
MSGS,Communication Services,Entertainment,Madison Square Garden Sports Co
MSI,Technology,Communication Equipment,"Motorola Solutions, Inc."
MSM,Industrials,Industrial Distribution,"MSC Industrial Direct Company, "
MSTR,Technology,Software - Application,Strategy Inc
MT,Basic Materials,Steel,Arcelor Mittal NY Registry Shar
MTB,Financial Services,Banks - Regional,M&T Bank Corporation
MTCH,Communication Services,Internet Content & Information,"Match Group, Inc."
MTD,Healthcare,Diagnostics & Research,"Mettler-Toledo International, I"
MTDR,Energy,Oil & Gas E&P,Matador Resources Company
MTG,Financial Services,Insurance - Specialty,MGIC Investment Corporation
MTH,Consumer Cyclical,Residential Construction,Meritage Homes Corporation
MTN,Consumer Cyclical,Resorts & Casinos,"Vail Resorts, Inc."
MTRN,Basic Materials,Other Industrial Metals & Mining,Materion Corporation
MTSI,Technology,Semiconductors,MACOM Technology Solutions Hold
MTZ,Industrials,Engineering & Construction,"MasTec, Inc."
MU,Technology,Semiconductors,"Micron Technology, Inc."
MUR,Energy,Oil & Gas E&P,Murphy Oil Corporation
MUSA,Consumer Cyclical,Specialty Retail,Murphy USA Inc.
MWA,Industrials,Specialty Industrial Machinery,MUELLER WATER PRODUCTS
MWH,Utilities,Utilities - Renewable,"SOLV Energy, Inc."
MXL,Technology,Semiconductors,"MaxLinear, Inc"
MYRG,Industrials,Engineering & Construction,"MYR Group, Inc."
MZTI,Consumer Defensive,Packaged Foods,The Marzetti Company
NAMS,Healthcare,Biotechnology,NewAmsterdam Pharma Company N.V
NAVN,Technology,Software - Application,"Navan, Inc."
NBIS,Communication Services,Internet Content & Information,Nebius Group N.V.
NBIX,Healthcare,Drug Manufacturers - Specialty & Generic,"Neurocrine Biosciences, Inc."
NCLH,Consumer Cyclical,Travel Services,Norwegian Cruise Line Holdings 
NCNO,Technology,Software - Application,"nCino, Inc."
NDAQ,Financial Services,Financial Data & Stock Exchanges,"Nasdaq, Inc."
NDSN,Industrials,Specialty Industrial Machinery,Nordson Corporation
NE,Energy,Oil & Gas Drilling,Noble Corporation plc A
NEE,Utilities,Utilities - Regulated Electric,"NextEra Energy, Inc."
NEM,Basic Materials,Gold,Newmont Corporation
NEO,Healthcare,Diagnostics & Research,"NeoGenomics, Inc."
NESR,Energy,Oil & Gas Equipment & Services,National Energy Services Reunit
NET,Technology,Software - Infrastructure,"Cloudflare, Inc."
NEU,Basic Materials,Specialty Chemicals,NewMarket Corp
NFG,Energy,Oil & Gas Integrated,National Fuel Gas Company
NFLX,Communication Services,Entertainment,"Netflix, Inc."
NHI,Real Estate,REIT - Healthcare Facilities,"National Health Investors, Inc."
NI,Utilities,Utilities - Regulated Gas,NiSource Inc
NIC,Financial Services,Banks - Regional,Nicolet Bankshares Inc.
NJR,Utilities,Utilities - Regulated Gas,NewJersey Resources Corporation
NKE,Consumer Cyclical,Footwear & Accessories,"Nike, Inc."
NKTR,Healthcare,Biotechnology,Nektar Therapeutics
NLY,Real Estate,REIT - Mortgage,Annaly Capital Management Inc.
NN,Technology,Software - Infrastructure,NextNav Inc.
NNE,Industrials,Specialty Industrial Machinery,Nano Nuclear Energy Inc.
NNN,Real Estate,REIT - Retail,"NNN REIT, Inc."
NOC,Industrials,Aerospace & Defense,Northrop Grumman Corporation
NOG,Energy,Oil & Gas E&P,"Northern Oil and Gas, Inc."
NOV,Energy,Oil & Gas Equipment & Services,NOV Inc.
NOVT,Technology,Scientific & Technical Instruments,Novanta Inc.
NOW,Technology,Software - Application,"ServiceNow, Inc."
NPO,Industrials,Specialty Industrial Machinery,Enpro Inc.
NRG,Utilities,Utilities - Independent Power Producers,"NRG Energy, Inc."
NRIX,Healthcare,Biotechnology,"Nurix Therapeutics, Inc."
NSC,Industrials,Railroads,Norfolk Southern Corporation
NSIT,Technology,Electronics & Computer Distribution,"Insight Enterprises, Inc."
NSP,Industrials,Staffing & Employment Services,"Insperity, Inc."
NTAP,Technology,Software - Infrastructure,"NetApp, Inc."
NTLA,Healthcare,Biotechnology,"Intellia Therapeutics, Inc."
NTNX,Technology,Software - Infrastructure,"Nutanix, Inc."
NTR,Basic Materials,Agricultural Inputs,Nutrien Ltd.
NTRA,Healthcare,Diagnostics & Research,"Natera, Inc."
NTRS,Financial Services,Asset Management,Northern Trust Corporation
NTSK,Technology,Software - Infrastructure,"Netskope, Inc."
NTST,Real Estate,REIT - Retail,NetSTREIT Corp.
NU,Financial Services,Banks - Regional,Nu Holdings Ltd.
NUE,Basic Materials,Steel,Nucor Corporation
NUVB,Healthcare,Biotechnology,Nuvation Bio Inc.
NVAX,Healthcare,Biotechnology,"Novavax, Inc."
NVDA,Technology,Semiconductors,NVIDIA Corporation
NVMI,Technology,Semiconductor Equipment & Materials,Nova Ltd.
NVR,Consumer Cyclical,Residential Construction,"NVR, Inc."
NVST,Healthcare,Medical Instruments & Supplies,Envista Holdings Corporation
NVT,Industrials,Electrical Equipment & Parts,nVent Electric plc
NVTS,Technology,Semiconductors,Navitas Semiconductor Corporati
NWE,Utilities,Utilities - Regulated Electric,"NorthWestern Energy Group, Inc."
NWL,Consumer Defensive,Household & Personal Products,Newell Brands Inc.
NWS,Communication Services,Entertainment,News Corporation
NWSA,Communication Services,Entertainment,News Corporation
NXE,Energy,Uranium,Nexgen Energy Ltd.
NXPI,Technology,Semiconductors,NXP Semiconductors N.V.
NXST,Communication Services,Broadcasting,"Nexstar Media Group, Inc."
NXT,Technology,Solar,Nextpower Inc.
NYT,Communication Services,Publishing,New York Times Company (The)
O,Real Estate,REIT - Retail,Realty Income Corporation
OBDC,Financial Services,Asset Management,Blue Owl Capital Corporation
OC,Industrials,Building Products & Equipment,Owens Corning Inc
ODFL,Industrials,Trucking,"Old Dominion Freight Line, Inc."
OGE,Utilities,Utilities - Regulated Electric,OGE Energy Corp
OGN,Healthcare,Drug Manufacturers - General,Organon & Co.
OGS,Utilities,Utilities - Regulated Gas,"ONE Gas, Inc."
OHI,Real Estate,REIT - Healthcare Facilities,"Omega Healthcare Investors, Inc"
OI,Consumer Cyclical,Packaging & Containers,"O-I Glass, Inc."
OII,Energy,Oil & Gas Equipment & Services,"Oceaneering International, Inc."
OKE,Energy,Oil & Gas Midstream,"ONEOK, Inc."
OKLO,Utilities,Utilities - Independent Power Producers,Oklo Inc.
OKTA,Technology,Software - Infrastructure,"Okta, Inc."
OLED,Technology,Electronic Components,Universal Display Corporation
OLLI,Consumer Defensive,Discount Stores,Ollie's Bargain Outlet Holdings
OLN,Basic Materials,Chemicals,Olin Corporation
OMC,Communication Services,Advertising Agencies,Omnicom Group Inc.
OMCL,Healthcare,Health Information Services,"Omnicell, Inc."
OMF,Financial Services,Credit Services,"OneMain Holdings, Inc."
ON,Technology,Semiconductors,ON Semiconductor Corporation
ONB,Financial Services,Banks - Regional,Old National Bancorp
ONDS,Technology,Communication Equipment,Ondas Inc
ONON,Consumer Cyclical,Footwear & Accessories,On Holding AG
ONTO,Technology,Semiconductor Equipment & Materials,Onto Innovation Inc.
OPCH,Healthcare,Medical Care Facilities,"Option Care Health, Inc."
OPLN,Consumer Cyclical,Auto & Truck Dealerships,"OPENLANE, Inc."
OR,Basic Materials,Gold,OR Royalties Inc.
ORA,Utilities,Utilities - Renewable,"Ormat Technologies, Inc."
ORC,Real Estate,REIT - Mortgage,"Orchid Island Capital, Inc."
ORCL,Technology,Software - Infrastructure,Oracle Corporation
ORI,Financial Services,Insurance - Property & Casualty,Old Republic International Corp
ORKA,Healthcare,Biotechnology,"Oruka Therapeutics, Inc."
ORLY,Consumer Cyclical,Auto Parts,"O'Reilly Automotive, Inc."
OSCR,Healthcare,Healthcare Plans,"Oscar Health, Inc."
OSIS,Technology,Electronic Components,"OSI Systems, Inc."
OSK,Industrials,Farm & Heavy Construction Machinery,Oshkosh Corporation (Holding Co
OTEX,Technology,Software - Application,Open Text Corporation
OTIS,Industrials,Specialty Industrial Machinery,Otis Worldwide Corporation
OUST,Technology,Electronic Components,"Ouster, Inc."
OUT,Real Estate,REIT - Specialty,OUTFRONT Media Inc.
OVV,Energy,Oil & Gas E&P,Ovintiv Inc. (DE)
OWL,Financial Services,Asset Management,Blue Owl Capital Inc.
OXY,Energy,Oil & Gas E&P,Occidental Petroleum Corporatio
OZK,Financial Services,Banks - Regional,Bank OZK
P,Technology,Computer Hardware,"Everpure, Inc."
PAA,Energy,Oil & Gas Midstream,"Plains All American Pipeline, L"
PAAS,Basic Materials,Gold,Pan American Silver Corp.
PACS,Healthcare,Medical Care Facilities,"PACS Group, Inc."
PAG,Consumer Cyclical,Auto & Truck Dealerships,"Penske Automotive Group, Inc."
PAGP,Energy,Oil & Gas Midstream,"Plains GP Holdings, L.P."
PANW,Technology,Software - Infrastructure,"Palo Alto Networks, Inc."
PARR,Energy,Oil & Gas Refining & Marketing,"Par Pacific Holdings, Inc. Comm"
PATH,Technology,Software - Infrastructure,"UiPath, Inc."
PATK,Consumer Cyclical,Recreational Vehicles,"Patrick Industries, Inc."
PAYC,Technology,Software - Application,"Paycom Software, Inc."
PAYO,Technology,Software - Infrastructure,Payoneer Global Inc.
PAYX,Technology,Software - Application,"Paychex, Inc."
PB,Financial Services,Banks - Regional,"Prosperity Bancshares, Inc."
PBA,Energy,Oil & Gas Midstream,Pembina Pipeline Corp.
PBF,Energy,Oil & Gas Refining & Marketing,PBF Energy Inc.
PBH,Healthcare,Drug Manufacturers - Specialty & Generic,Prestige Consumer Healthcare In
PBI,Industrials,Integrated Freight & Logistics,Pitney Bowes Inc.
PCAR,Industrials,Farm & Heavy Construction Machinery,PACCAR Inc.
PCG,Utilities,Utilities - Regulated Electric,Pacific Gas & Electric Co.
PCOR,Technology,Software - Application,"Procore Technologies, Inc."
PCT,Industrials,Pollution & Treatment Controls,"PureCycle Technologies, Inc."
PCTY,Technology,Software - Application,Paylocity Holding Corporation
PCVX,Healthcare,Biotechnology,"Vaxcyte, Inc."
PDFS,Technology,Software - Application,"PDF Solutions, Inc."
PEB,Real Estate,REIT - Hotel & Motel,Pebblebrook Hotel Trust
PECO,Real Estate,REIT - Retail,"Phillips Edison & Company, Inc."
PEG,Utilities,Utilities - Regulated Electric,Public Service Enterprise Group
PEGA,Technology,Software - Application,Pegasystems Inc.
PEN,Healthcare,Medical Devices,"Penumbra, Inc."
