ticker,last_date,n_days,iv_7_14d,pctile,p30_level,passes_gate3,note
AMLP,2026-09-09,64,11.4,0.0,17.1,True,
ANF,2026-09-09,225,51.0,46.0,49.3,False,
ANVS,,2,,,,,insufficient history
BBAI,2026-09-04,60,53.0,2.0,84.5,True,
BROS,2026-09-09,225,41.9,18.0,45.0,True,
BSX,2026-09-09,252,38.7,67.0,25.9,False,
CAH,2026-09-09,252,28.4,52.0,25.6,False,
CELH,2026-09-09,225,46.1,18.0,49.5,True,
CMI,2026-09-09,64,39.1,78.0,27.1,False,
CSCO,2026-09-09,252,30.7,58.0,24.4,False,
CSTM,,39,,,,,insufficient history
DKS,2026-09-09,125,49.4,84.0,37.6,False,
EBAY,2026-09-09,225,25.0,8.0,29.3,True,
EPD,2026-09-09,252,21.5,63.0,17.0,False,
EW,2026-09-09,69,27.0,42.0,25.0,False,
EWW,2026-09-09,95,29.1,62.0,21.4,False,
EWZ,2026-09-09,252,31.8,77.0,25.5,False,
FFIV,2026-09-09,64,46.9,94.0,29.7,False,
FLEX,,37,,,,,insufficient history
FOXA,2026-08-12,71,50.3,89.0,28.1,False,
FTNT,2026-09-09,225,49.3,72.0,31.8,False,
GAP,2026-09-09,225,38.9,21.0,40.3,True,
GOOG,2026-09-09,252,30.1,35.0,29.2,False,
ISRG,2026-09-09,225,38.0,78.0,28.3,False,
LLY,2026-09-09,252,32.0,32.0,31.6,False,
M,2026-09-09,252,78.5,92.0,43.6,False,
MCK,2026-09-09,184,24.4,39.0,23.4,False,
MDB,2026-09-09,252,48.3,31.0,48.2,False,
MNST,,7,,,,,insufficient history
MRK,2026-09-09,252,32.2,74.0,27.2,False,
MSFT,2026-09-09,225,26.0,50.0,21.7,False,
MSTY,2026-09-08,65,81.1,62.0,72.2,False,
NFLX,2026-09-09,192,32.3,47.0,30.3,False,
NKTR,,28,,,,,insufficient history
NTNX,,59,,,,,insufficient history
OKTA,2026-09-09,225,58.0,67.0,41.4,False,
PCG,2026-09-09,252,48.7,84.0,31.0,False,
PLTR,2026-09-09,252,48.0,32.0,47.5,False,
REGN,2026-09-09,252,33.0,38.0,31.1,False,
ROST,2026-09-09,252,23.2,28.0,23.7,True,
SRPT,2026-09-09,217,116.4,91.0,71.3,False,
STEM,,0,,,,,insufficient history
SYM,2026-09-09,252,52.4,6.0,67.7,True,
THC,2026-09-09,63,63.2,95.0,36.8,False,
TJX,2026-09-09,252,22.1,49.0,19.8,False,
TPR,2026-09-09,252,31.3,6.0,37.4,True,
TSCO,2026-09-09,224,36.0,54.0,28.6,False,
TTWO,2026-09-09,225,36.8,53.0,27.5,False,
VOD,2026-09-09,179,34.5,55.0,28.5,False,
WGS,2026-09-09,210,88.1,72.0,63.9,False,
