t,date,hold,mex,mabs,f63,f126,true,pos252,commod,spy_up,open
XLK,2007-11-02,6,-4.275931839950298,-9.236221646697606,-8.598142038420109,-5.742447514888493,False,1.0,False,True,False
XLK,2008-05-15,32,-0.8062746193368442,-10.283461584393727,1.8855716560902347,-3.049937864738572,True,0.5142360089896917,False,False,False
XLK,2009-02-04,63,6.265728096258849,17.629591964991477,6.265728096258849,9.002566914204468,True,0.8930267868789796,False,False,False
XLK,2009-03-23,31,-0.38905678555589684,11.67613106693337,2.2245833754198863,0.8273237378722653,True,0.9215402900703804,False,False,False
XLK,2009-06-10,2,-0.6113522381324676,0.10894829157015451,1.05505320589796,3.380209140429047,True,0.8260153158982086,False,True,False
XLK,2018-03-13,11,-2.2376957027173128,-7.965262434667153,2.2560644924902062,1.830861804936057,False,1.0,False,True,False
XLK,2019-03-22,35,-0.5901719410467132,-0.01364303995325944,1.3890662042687074,2.364542160082017,False,1.0,False,True,False
XLK,2020-01-31,88,6.423413628948782,7.471069504650307,5.328382500388907,14.230653492768507,False,1.0,False,True,False
XLK,2020-05-12,18,-3.667579469066995,9.07532791795087,2.9254473745427445,5.092859645278214,False,1.0,False,False,False
XLK,2020-06-26,18,-2.7604970924455463,4.874885852364885,2.463506407281857,3.6826824868134267,False,1.0,False,True,False
XLK,2020-08-24,10,-2.3634063307518605,-5.195009448261678,-2.8433160997088924,-1.4366659906232204,False,1.0,False,True,False
XLK,2021-07-01,60,1.940330296600834,5.1064980634768276,1.1111687742653364,7.188944881950166,False,0.588526704485369,False,True,False
XLK,2021-12-01,24,-2.9950375455909395,1.3391437147572294,-5.290423577351177,-6.757411702129124,False,1.0,False,True,False
XLK,2022-08-03,17,-2.43713462058166,-4.642448941899813,-6.505319660556053,-3.4605905159988293,False,0.40939107287701326,False,False,False
XLK,2023-02-03,54,3.5459138708796356,3.9957334739925576,6.46550061677591,11.463230597036379,True,0.569558949707838,False,True,False
XLK,2023-03-22,22,-2.5386304169936924,2.694601585743772,7.535117800724622,4.196287414580935,True,0.9080581452780578,False,True,False
XLK,2023-05-23,43,3.084286675474157,13.495536530836038,2.815159275234591,8.579171076541758,True,1.0,False,True,False
XLK,2023-11-21,27,-2.576306869093492,2.1220787117781637,-0.6484608978178708,-0.41700807264812845,False,1.0,False,True,False
XLK,2024-06-13,22,-3.913481447047318,-0.911025949332378,-6.582406850110134,-6.794571194012233,False,0.9152627317647553,False,True,False
XLK,2025-05-06,72,7.808426740135288,22.644064018465613,9.740552585531637,16.441589373979838,True,0.3331954098930671,False,False,False
